Rank,Name,abbr,Team_name,%,Saves,Shots,MP
15,LETTENS Jef,BEL,Belgium,0.29,5,17,6
12,TERCARIOL Leonardo,BRA,Brazil,0.3,3,10,6
2,SUNJIC Mate,CRO,Croatia,0.38,3,8,4
19,KUZMANOVIC Dominik,CRO,Croatia,0.27,3,11,4
9,MOLLER Kevin,DEN,Denmark,0.31,4,13,9
15,LANDIN JACOBSEN Niklas,DEN,Denmark,0.29,7,24,9
3,PEREZ de VARGAS ,ESP,Spain,0.36,10,28,9
6,GERARD Vincent,FRA,France,0.32,6,19,9
19,DESBONNET Remi,FRA,France,0.27,3,11,9
6,WOLFF Andreas,GER,Germany,0.32,8,25,9
15,BIRLEHM Joel,GER,Germany,0.29,2,7,9
6,SZEKELY Marton,HUN,Hungary,0.32,7,22,9
4,SIAVOSHISHAHENAYATI ,IRI,Iran,0.33,6,18,6
1,MATOVIC Nikola,MNE,Montenegro,0.4,2,5,6
12,FERREIRA Miguel,POR,Portugal,0.3,3,10,6
12,GASPAR Manuel,POR,Portugal,0.3,3,10,6
9,LESJAK Urban,SLO,Slovenia,0.31,5,16,6
9,PALICKA Andreas,SWE,Sweden,0.31,4,13,7
15,NAMLI Asil,TUN,Tunisia,0.29,2,7,6
4,MERKOVSZKY Pal,USA,United States of America,0.33,3,9,6
