Team,MP,Total Shots S / S,Total Shots %,6m Shots S / S,6m Shots %,Wing Shots S / S,Wing Shots %,9m Shots S / S,9m Shots %,7m Shots S / S,7m Shots %,Fast Breaks S / S,Fast Breaks %,Breakthroughs S / S,Breakthroughs %
ALG,7,66/299,22,33/130,25,8/36,22,11/48,23,3/16,19,4/36,11,7/29,24
ARG,6,40/216,19,17/74,23,6/31,19,10/38,26,3/22,14,2/21,10,2/21,10
BEL,6,71/264,27,28/92,30,11/39,28,16/58,28,6/19,32,7/27,26,3/22,14
BRA,6,66/241,27,35/105,33,6/22,27,13/35,37,4/18,22,5/26,19,3/33,9
BRN,6,62/249,25,29/81,36,11/43,26,8/28,29,1/12,8,7/58,12,4/20,20
CHI,7,63/268,24,31/111,28,5/33,15,18/40,45,4/27,15,4/34,12,1/19,5
CPV,6,47/253,19,22/86,26,7/29,24,13/37,35,4/24,17,1/26,4,0/20,0
CRO,6,63/230,27,25/76,33,5/29,17,23/63,37,6/22,27,3/18,17,1/21,5
DEN,9,115/341,34,37/125,30,19/45,42,43/81,53,11/37,30,3/25,12,2/24,8
EGY,9,117/350,33,37/121,31,10/28,36,48/108,44,6/21,29,10/27,37,6/43,14
ESP,9,102/348,29,34/115,30,11/49,22,40/68,59,11/44,25,4/23,17,1/37,3
FRA,9,116/361,32,30/107,28,10/38,26,54/114,47,9/33,27,7/26,27,6/40,15
GER,9,135/382,35,52/129,40,27/58,47,34/69,49,10/32,31,4/40,10,8/50,16
HUN,9,96/379,25,35/120,29,19/56,34,22/85,26,8/29,28,7/48,15,5/32,16
IRI,6,71/269,26,27/89,30,11/34,32,15/42,36,7/26,27,9/48,19,2/19,11
ISL,6,64/247,26,35/113,31,6/22,27,14/37,38,4/27,15,4/20,20,1/24,4
KOR,7,77/304,25,30/128,23,17/51,33,10/31,32,6/28,21,7/45,16,7/20,35
KSA,7,75/293,26,40/121,33,18/40,45,8/22,36,2/25,8,5/53,9,2/18,11
MAR,7,62/285,22,19/100,19,14/35,40,10/43,23,1/17,6,12/55,22,6/26,23
MKD,7,70/294,24,23/108,21,11/40,28,16/39,41,2/21,10,11/43,26,7/34,21
MNE,6,71/258,28,30/95,32,4/28,14,26/59,44,5/22,23,4/26,15,2/18,11
NED,6,67/232,29,32/93,34,9/34,26,18/45,40,4/24,17,1/12,8,3/23,13
NOR,9,122/355,34,48/131,37,11/38,29,48/97,49,5/32,16,6/19,32,4/33,12
POL,6,63/214,29,26/81,32,5/22,23,20/49,41,3/24,13,4/20,20,5/13,38
POR,6,70/227,31,38/102,37,6/29,21,14/38,37,6/20,30,5/21,24,1/8,13
QAT,6,52/229,23,11/53,21,17/62,27,13/37,35,1/15,7,8/42,19,2/16,13
SLO,6,70/222,32,27/78,35,5/16,31,20/53,38,6/23,26,10/30,33,2/17,12
SRB,6,61/229,27,31/88,35,8/40,20,11/27,41,4/22,18,4/22,18,3/25,12
SWE,9,130/367,35,58/163,36,16/42,38,42/82,51,5/23,22,1/14,7,8/40,20
TUN,7,79/275,29,30/98,31,20/48,42,18/41,44,4/23,17,4/43,9,3/15,20
URU,7,75/323,23,42/132,32,9/39,23,13/42,31,2/23,9,7/51,14,2/28,7
USA,6,63/252,25,20/76,26,12/40,30,16/49,33,5/16,31,5/38,13,5/29,17
