,team_url,team_name,abbrv,total_goal,total_shot,total_6m_goal,total_6m_shot,total_9m_goal,total_9m_shot
0,https://www.ihf.info/sites/default/files/2018-12/Algeria.png,Algeria,ALG ,183,327,59,113,40,90
1,https://www.ihf.info/sites/default/files/2018-12/Argentina.png,Argentina,ARG ,142,254,31,78,13,46
4,https://www.ihf.info/sites/default/files/2019-07/Flag%20of%20Bahrain.png,Bahrain,BRN ,164,277,67,117,18,51
2,https://www.ihf.info/sites/default/files/2018-12/Belgium.png,Belgium,BEL ,163,282,58,104,22,56
3,https://www.ihf.info/sites/default/files/2018-12/Brazil.png,Brazil,BRA ,173,295,47,90,30,79
6,https://www.ihf.info/sites/default/files/2018-12/Cape_Verde.png,Cape Verde,CPV ,171,296,89,156,24,69
5,https://www.ihf.info/sites/default/files/2018-12/Chile.png,Chile,CHI ,202,319,83,143,17,36
7,https://www.ihf.info/sites/default/files/2018-12/Croatia.png,Croatia,CRO ,207,282,65,88,41,72
8,https://www.ihf.info/sites/default/files/2018-12/Denmark.png,Denmark,DEN ,308,424,80,119,71,106
9,https://www.ihf.info/sites/default/files/2018-12/Egypt.png,Egypt,EGY ,272,428,79,124,65,132
11,https://www.ihf.info/sites/default/files/2018-12/France.png,France,FRA ,301,455,104,157,48,112
12,https://www.ihf.info/sites/default/files/2018-12/Germany.png,Germany,GER ,291,424,114,165,51,100
13,https://www.ihf.info/sites/default/files/2018-12/Hungary.png,Hungary,HUN ,266,451,104,167,52,128
15,https://www.ihf.info/sites/default/files/2018-12/Iceland.png,Iceland,ISL ,207,290,72,114,18,26
14,https://www.ihf.info/sites/default/files/2018-12/Iran.png,Islamic Republic of Iran,IRI ,150,272,50,91,42,102
16,https://www.ihf.info/sites/default/files/2019-06/Korea.jpg,Korea,KOR ,206,331,85,143,18,36
20,https://www.ihf.info/sites/default/files/2019-06/MNE%20CORRECT%20FLAG.png,Montenegro,MNE ,161,275,52,80,24,74
18,https://www.ihf.info/sites/default/files/2018-12/Morocco.png,Morocco,MAR ,178,313,66,108,28,75
21,https://www.ihf.info/sites/default/files/2018-12/Netherlands.png,Netherlands,NED ,177,270,53,82,10,29
19,https://www.ihf.info/sites/default/files/2019-08/a02b682583dcec67a5a26a3ffb811ade_w250.png,North Macedonia,MKD ,221,329,81,113,23,60
22,https://www.ihf.info/sites/default/files/2018-12/Norway.png,Norway,NOR ,278,422,87,130,47,101
23,https://www.ihf.info/sites/default/files/2018-12/Poland.png,Poland,POL ,150,250,40,64,31,73
24,https://www.ihf.info/sites/default/files/2018-12/Portugal.png,Portugal,POR ,178,281,76,136,12,34
25,https://www.ihf.info/sites/default/files/2018-12/Qatar.png,Qatar,QAT ,149,260,50,92,31,80
17,https://www.ihf.info/sites/default/files/2018-12/Saudi_Arabia.png,Saudi Arabia,KSA ,172,306,77,151,16,40
27,https://www.ihf.info/sites/default/files/2019-01/serbia.png,Serbia,SRB ,191,270,71,104,42,69
26,https://www.ihf.info/sites/default/files/2018-12/Slovenia.png,Slovenia,SLO ,191,264,56,82,18,40
10,https://www.ihf.info/sites/default/files/2018-12/Spain.png,Spain,ESP ,280,442,106,156,50,122
28,https://www.ihf.info/sites/default/files/2018-12/Sweden.png,Sweden,SWE ,299,434,103,157,34,71
29,https://www.ihf.info/sites/default/files/2019-06/TUN%20CORRECT%20FLAG.png,Tunisia,TUN,208,331,85,132,26,60
31,https://www.ihf.info/sites/default/files/2018-12/United_States_of_America.png,United States of America,USA ,141,266,44,79,35,93
30,https://www.ihf.info/sites/default/files/2018-12/Uruguay.png,Uruguay,URU ,175,346,75,166,23,64
