,team_name,total_save,total_shot,total_6m_save,total_6m_shot,total_9m_save,total_9m_shot,total_7m_save,total_7m_shot
2,Belgium,71,264,28,92,16,58,6,19
12,Germany,135,382,52,129,34,69,10,32
31,United States of America,63,252,20,76,16,49,5,16
24,Portugal,70,227,38,102,14,38,6,20
8,Denmark,115,341,37,125,43,81,11,37
9,Egypt,117,350,37,121,48,108,6,21
13,Hungary,96,379,35,120,22,85,8,29
7,Croatia,63,230,25,76,23,63,6,22
11,France,116,361,30,107,54,114,9,33
14,Islamic Republic of Iran,71,269,27,89,15,42,7,26
26,Slovenia,70,222,27,78,20,53,6,23
10,Spain,102,348,34,115,40,68,11,44
20,Montenegro,71,258,30,95,26,59,5,22
3,Brazil,66,241,35,105,13,35,4,18
28,Sweden,130,367,58,163,42,82,5,23
16,Korea,77,304,30,128,10,31,6,28
0,Algeria,66,299,33,130,11,48,3,16
27,Serbia,61,229,31,88,11,27,4,22
29,Tunisia,79,275,30,98,18,41,4,23
6,Cape Verde,47,253,22,86,13,37,4,24
21,Netherlands,67,232,32,93,18,45,4,24
22,Norway,122,355,48,131,48,97,5,32
5,Chile,63,268,31,111,18,40,4,27
15,Iceland,64,247,35,113,14,37,4,27
1,Argentina,40,216,17,74,10,38,3,22
23,Poland,63,214,26,81,20,49,3,24
19,North Macedonia,70,294,23,108,16,39,2,21
30,Uruguay,75,323,42,132,13,42,2,23
4,Bahrain,62,249,29,81,8,28,1,12
17,Saudi Arabia,75,293,40,121,8,22,2,25
25,Qatar,52,229,11,53,13,37,1,15
18,Morocco,62,285,19,100,10,43,1,17
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
