Team_nam,Team_abb,Team_name2
Algeria,ALG ,Algeria
Argentina,ARG ,Argentina
Bahrain,BRN ,Bahrain
Belgium,BEL ,Belgium
Brazil,BRA ,Brazil
Cape Verde,CPV ,Cape Verde
Chile,CHI ,Chile
Croatia,CRO ,Croatia
Denmark,DEN ,Denmark
Egypt,EGY ,Egypt
France,FRA ,France
Germany,GER ,Germany
Hungary,HUN ,Hungary
Iceland,ISL ,Iceland
Iran,IRI ,Iran
Korea,KOR ,Korea
Montenegro,MNE ,Montenegro
Morocco,MAR ,Morocco
Netherlands,NED ,Netherlands
North Macedonia,MKD ,North Macedonia
Norway,NOR ,Norway
Poland,POL ,Poland
Portugal,POR ,Portugal
Qatar,QAT ,Qatar
Saudi Arabia,KSA ,Saudi Arabia
Serbia,SRB ,Serbia
Slovenia,SLO ,Slovenia
Spain,ESP ,Spain
Sweden,SWE ,Sweden
Tunisia,TUN,Tunisia
United States of America,USA ,United States of America
Uruguay,URU ,Uruguay
